"chromosomeName"	"start"	"end"	"readsL"	"readsR"	"isNonBlind"	"leftFragEndValid"	"rightFragEndValid"
10	69994156	69994497	1112	1136	TRUE	FALSE	FALSE
10	69994502	69994550	1751	1754	FALSE	TRUE	TRUE
10	69994555	69995081	1382	1418	TRUE	FALSE	TRUE
10	69995086	69995445	1652	1674	FALSE	TRUE	TRUE
10	69995450	69995613	1824	1834	TRUE	TRUE	TRUE
10	69995618	69995664	1586	1589	TRUE	TRUE	FALSE
10	69995669	69996239	1581	1445	TRUE	TRUE	FALSE
10	69996244	69996507	1451	1826	TRUE	FALSE	TRUE
10	69996512	69996683	1833	2109	FALSE	TRUE	TRUE
10	69996688	69997101	2117	2878	TRUE	TRUE	TRUE
10	69997106	69997160	2888	2997	TRUE	FALSE	TRUE
10	69997165	69997580	3007	3896	TRUE	TRUE	FALSE
10	69997585	69997627	3907	4001	FALSE	TRUE	TRUE
10	69997632	69997683	4012	4127	FALSE	TRUE	FALSE
10	69997688	69998004	4138	4856	TRUE	TRUE	TRUE
10	69998009	69998158	4867	5202	FALSE	TRUE	TRUE
10	69998163	69998354	5213	5629	FALSE	TRUE	TRUE
10	69998359	69998456	5640	5844	FALSE	TRUE	TRUE
10	69998461	69998677	5854	6280	FALSE	TRUE	TRUE
10	69998682	69998722	6289	6363	FALSE	FALSE	FALSE
10	69998727	69999037	6372	6878	FALSE	FALSE	TRUE
10	69999042	69999864	6885	7500	TRUE	TRUE	TRUE
10	69999869	70000109	7500	7446	TRUE	TRUE	TRUE
10	70000114	70000199	7444	7399	TRUE	TRUE	TRUE
10	70000204	70000248	7396	7367	FALSE	TRUE	TRUE
10	70000253	70000328	7363	7305	FALSE	FALSE	FALSE
10	70000333	70000472	7301	7167	FALSE	TRUE	TRUE
10	70000477	70000827	7161	6687	FALSE	TRUE	TRUE
10	70000832	70001193	6679	6024	TRUE	TRUE	TRUE
10	70001198	70001258	6014	5893	FALSE	TRUE	TRUE
10	70001263	70001499	5883	5381	TRUE	FALSE	TRUE
10	70001504	70001552	5370	5264	FALSE	TRUE	TRUE
10	70001557	70001631	5253	5088	FALSE	TRUE	TRUE
10	70001636	70001676	5076	4987	FALSE	TRUE	TRUE
10	70001681	70001830	4975	4638	FALSE	TRUE	TRUE
10	70001835	70001838	4626	4619	FALSE	FALSE	FALSE
10	70001843	70001857	4608	4576	FALSE	FALSE	FALSE
10	70001862	70001995	4565	4263	TRUE	TRUE	FALSE
10	70002000	70002424	4251	3316	TRUE	TRUE	TRUE
10	70002429	70002601	3306	2950	TRUE	TRUE	FALSE
10	70002606	70002657	2940	2839	FALSE	TRUE	FALSE
10	70002662	70002737	2829	2682	TRUE	FALSE	TRUE
10	70002742	70002793	2673	2576	TRUE	TRUE	FALSE
10	70002798	70002808	2566	2548	FALSE	FALSE	FALSE
10	70002813	70002933	2538	2320	FALSE	TRUE	TRUE
10	70002938	70002969	2311	2256	FALSE	TRUE	TRUE
10	70002974	70003103	2247	2029	TRUE	TRUE	TRUE
10	70003108	70003682	2021	1283	TRUE	TRUE	TRUE
10	70003687	70004235	1379	1348	TRUE	TRUE	TRUE
10	70004240	70004285	1363	1361	FALSE	TRUE	TRUE
10	70004290	70004661	1218	1195	TRUE	TRUE	FALSE
10	70004666	70004962	1543	1524	TRUE	FALSE	TRUE
10	70004967	70005050	1804	1799	FALSE	TRUE	TRUE
10	70005055	70005145	1810	1804	FALSE	TRUE	TRUE
10	70005150	70005184	1138	1135	FALSE	TRUE	TRUE
10	70005189	70005467	1302	1282	TRUE	TRUE	TRUE
10	70005472	70005686	1584	1569	TRUE	FALSE	FALSE
10	70005691	70005762	1423	1418	FALSE	FALSE	TRUE
10	70005767	70005919	1538	1526	TRUE	TRUE	TRUE
10	70005924	70006005	1709	1703	FALSE	FALSE	TRUE
10	70006010	70006098	1604	1597	FALSE	TRUE	TRUE
10	70006103	70006569	1235	1198	TRUE	TRUE	FALSE
10	70006574	70006726	1508	1496	TRUE	FALSE	FALSE
